respond	context_0
And four years of pre-med, four years of med school, and tons of unpaid loans have made me realize one thing...	I'm the man.
I don't know jack.	Good. Could you go drop an NG tube on the patient in 234, and call the attending that the lavage is positive?
Look, I became a doctor because I wanted to help people. But orientation yesterday... it didn't really focus on patient care.	Good. We just turfed him there.
Hey, Turk.	The hospital doesn't want to be sued. Being sued is not a good thing.
You know how I'm totally down with the rap music?	'Sup.
Chris Turk's my best friend. We roomed together in college...We roomed together in med school...Hell, we even got accepted by the same hospital.	Dude, be whiter.
Here's the thing: TuPac, DMX, Dr. Dre, in most of their songs, these artists use an extremely volatile racial slur... the "N" word.	Chris Turk's my best friend. We roomed together in college...We roomed together in med school...Hell, we even got accepted by the same hospital.
Right. My question is this: if we're both singing along, and knowing that otherwise I would never use the word, am I allowed to say-	I got it.
See, that's good for me to know. I didn't-I didn't know that.	No.
Hey, listen, I found us an apartment....	Finally, doctors, if there is a mistake, don't admit it to the patient. Of course, if the patient is deceased, and you're sure, you can feel free to tell him or her... anything.
Me too. I love watching it, I love playing it, I love all of it.	I love PacMan.
I'm J.D., this is Turk.	Yeah. Don't do that.
Heh-heh. Hello.	Medical.
I know. I would have laughed if you'd paused.	So, every male in my family is a doctor: my dad, my grand-dad, and my brother. I guess that's why dad gave me a guy's name, made me play sports, date girls. I'm joking.
Your butt looks like two Pringles hugging.	Anyway, I know what you're thinking.
No you don't.	Your butt looks like two Pringles hugging.
Hey, are we, like, racing?	I'm probably "Miss Hyper Competitive". I mean, it used to be a big problem for me. "Used to" - past tense.
Please. I'm not that desperate.	Yes!
Oh, yeah.	So, you do a lot of cardio, or...?
You ever notice how quickly some people make an impression?	Elliot Reid? John Dorian? Great. One: I am your resident, Dr. Jeffrey Steadman - not "Jeff". Two: Here are your manuals. This -
Yeah.	I'm a tool. I'm a tool. I'm a tool, tool, tool, an unbelievably annoying tool.
Back to today.	Yeah. Finally, these are your beepers . From now on, they control your entire life. 'Kay? Thanks. Move it.
Why?	Aww, first day, Bambi? Carla will take care of you. Don't look at me when we're moving someone.
Hi, doctor, I'm-	We're waiting for Dr. Cox.
We'll talk later.	Place an IV for me.
Come on, you've done this to cadavers before. So this guy's alive, just poke it through his skin! Poke it through! Now!	I smell nice.
Why are you telling her?	Time's up. Carla, would you do it for him, please? I also need an A.B.G.
That's a little insensitive.	Why does this GOMER got to try and die everyday during my lunch?
Mistake.	That's a little insensitive.
What about his subconscious?	Yeah, it is.
What is euremia?	I think I'm gonna love rounds. It's like being on a gameshow.
I'd had a nurse do it. Unfortunately, I'm still afraid to touch anybody.I've been thinking a lot about Elliot....A whole lot.	That's my boy!Hey, nice, clean job on the foley catheter.
Anyway...I'm going for it.	You're off the hook if you can tell me what to look for in a euremic patient.
Infection.	Anyway...I'm going for it.
I'm sure you did.	I knew the answer!
Well, how could you not be....	I was just frazzled.
Oh, I know. Yeah.	You know with the...
You could let me take you to dinner tomorrow night.Around seven.... Or eight.	Good. But thanks. If there's anything I can ever do for you, just
Well, Tiger, I gave her an answer during rounds, and she screwed my brains out.	Daddy, why did you marry mommy?
I was worried that it could exacerbate the patient's	What the hell are you doing?Did you actually just page me to find out how much Tylenol to give to Mrs. Lendsner?
But I	It's regular-strength Tylenol! Here's what'cha do: Get her to open her mouth, take a handful, and throw it at her. Whatever sticks, that's the correct dosage.
Dr. Kelso, he's always telling me, you know, "You've gotta stay positive!"	And under no circumstances are you to compromise our "no talking" agreement.
It's just that, this isn't really what I expected... You know...Most of my patients are, uh...older and sorta checked-out, mentally.	I'm gonna go ahead and say this just as carefully as possible so I don't overstate it: Dr. Kelso is the most evil human being on the planet. And may, in fact, be Satan, himself.
It's just that, do you really think we should be talking about this in front of....	Pumpkin, that's modern medicine. Advances that keep people alive who should have died a long time ago, back when they lost what made them people.Now, your job is to stay sane enough so that when someone does come in that you actually can help, you're not so brain-dead that you can't function. For the love of God, what!?
You've been like a father to me.	Her? She's dead.Write this down, newbie: If you push around a stiff, nobody'll ask you to do anything.
And there it is.	Fair enough, you want some real advice? If they find out the nurses are doing your procedures for you, your ass'll be kicked outta here so quick, it'll make your head spin.
Probably not	I am such a stud!
And you weren't scared?	This morning, I had my hands inside of a guy's chest. I couldn't even see them! I should not be allowed to do stuff like that. Whazzup.
Hey, we never got to talk about the apartment, I wanted to	It's a little deep.
Oww!	All right, Todd, J.D.; J.D., this is my man, Todd.
And like that, I was back in high school. You see, surgical interns, they're all slice-'em-and-dice-'em. They're the jocks. Medical interns, we're trained to think about the body; diagnose, test. Medical interns, well....	Oww!
....We're the chess club.	Hey, you got a stain.
He's just scared. Talk to him.	We need to know if your gas could be harmful to others.
Look, Mr. Bursky, I heard a systolic murmur in your heart, which is most likely nothing. But if you don't let me check you out, I'm gonna worry about you all day.	He's just scared. Talk to him.
You're a good man.	Then I'll do it. For you.
Maybe there's a penny stuck in there?	The door is broke. Maybe the fifth time or so. It don't open.
I dunno.	Why a penny?
No. I was I was just making small talk.	Did you stick a penny in there?
Sir, I have no idea.	I don't know!
Fantastic.Just suck out the fluid with the giant needle.	Shut up and do it.
I think this needle's too big. I'm gonna get a nurse.	Fantastic.Just suck out the fluid with the giant needle.
Why couldn't I do that? I hated him at that moment.	Come on, man, learn by doing! Learn by doing.
Oh, you think?	Okay, uh, maybe the needle was just a little too big.
So, are you gonna are you gonna move your stuff in or what?	Nothing, ma'am, this is totally normal.
Tell him you think that's stupid. Tell him you need him.	That's why I came by. I think it's better if we both branched out a little. What do you think?
Yeah, I... I feel the same way.	Tell him you think that's stupid. Tell him you need him.
Yeah, that was pretty much my point.	Movies nowadays have too many special effects.
Don't worry about the patient, Turk was already there.... 'Learning by doing.'	Agh! You chicken!
Plus, it turns out, the guy was just sleeping; attached to a faulty monitor.	Clear!
I thought we cared about each other....	Plus, it turns out, the guy was just sleeping; attached to a faulty monitor.
Well, I'll tell you one thing, the last thing in the world I wanna do is sleep wit'cha now!	Oh please, if you didn't want to sleep with me, you'd have done the same thing.
Okay.	Do me right here.
ARGH!	See!
Our date is is totally canceled!	Right. Pass me a trach. kit.Thanks.
I heard that Turk was gonna move in with Todd. I'm surprised that high-fiving freak isn't in there with him.	Lose the clothes.
Turk practically had sex in the on-call room.	Ahhh!
Seems like a good kid.	Atta boy! Go get 'em, champ!Why are you here?
Yeah.	You're worried about being on-call tonight, aren't you.
Call you?	Look, worst case scenario, you kill somebody, and that hangs over your head the rest of your life....But that is the absolute worst case scenario. Come on, newbie, look: Just have the nurses do all the stuff you're still too chicken to do, which I assume covers just about everything, and if you have a really rough admission
Yeah.... Carla....	Ouch.
Agghh!	Hey, Champ! First night on call starts soon, huh? Gosh, you must be excited.
You bet'cha.	Agghh!
No problem, sir.	Oh! About Mrs. Pratt.... I heard you wanted to put her on the hospital's transplant list. I just thought I'd recommend keeping her on dialysis a little while longer, maybe we'll get lucky!
I'll check on you every ten minutes, Mrs. Moreno, okay?	Bambi, come on. Let's go.
Are you flirting with me?You are, aren't you!	I need to see you in Mr. Bursky's room.
Why didn't anybody page me?	He crashed. The attending thinks it was a pulmonary embolism.No way anyone could have caught it. Anyhow, you have to pronounce him.
I'll never forget that moment, the way he looked exactly the same...only completely different. The shame that all I could think about was how hard this was for me.	Could you just pronounce him so I can go home?
Time of death 0200.	I'll never forget that moment, the way he looked exactly the same...only completely different. The shame that all I could think about was how hard this was for me.
I just wanted to help people.	Time of death 0200.
Really?	Hey. I lied before, man. I'm scared every second.
Well, I think it's okay to be scared.	It's a good thing they make surgical masks, 'cause if they didn't, everyone would know that my face is like this the whole time...
He needs me?	Well, I need you to tell me that every once in a while, man.
Ask him to move in again.	Anyway, I just came to check up on you; see how you're doing.
You know, Turk, the offer still stands if you wanna....	Ask him to move in again.
And like that, I got a second wind.	A Hospital Hallway.
Ah, there he is, my safety net.	How're you holding up?
Yeah, but she's, like, a second away from total renal failure.	I saw that you're still pushing to put Mrs. Pratt on the transplant list. Bad news, though, sport: she doesn't have the insurance to cover it.
They're still in there with him, sir.	Okay..... Uh, did you ask the Bursky family for permission to do an autopsy?
Just tell him you can't see Mr. Bursky again. He'll understand.	It's a teaching hospital, son, you gotta ask.
Sir, do you do you think I could skip just this one?	Just tell him you can't see Mr. Bursky again. He'll understand.
See? Every story needs a good guy.	Why, sure, sport.
I am pretty tired!	In fact, why don't you just head on home. You look kinda tired.
Crystal clear.	Dr. Dorian, do you not realize that you're nothing but a large pair of scrubs to me? For God's sake, the only reason I carry this chart around is so I can pretend to remember your damn names! Now look, if the patient has insurance, you treat them; if they don't, you show them the door.And if somebody dies, you get the autopsy. You get it by rounds tomorrow morning, or I'll be scratching your name off my chart! Are we clear!?Answer me!!!
I don't get it, if he's the jerk, then who's the good guy?	Great, sport.
Oh God, no.	We gotta relieve the pressure in his chest. J.D., do it.
And I believed him...	Look at me. You can do this.
Chest-tube tray.	And I believed him...
...You know, kinda.	Chest-tube tray.
You can do this. You have to do this.	Come on, baby, let's go; chop-chop.
Okay, gimme the tube.I can't get it through the pleura.	J.D., cut him or lose him.
Okay, connect it, please, Carla.	Well, don't be gentle, get it in there.
No way!	Normal rhythm.
You're leaving?	Eh? It's a piece of cake.That's your patient.
Sorry. It's a very big moment for me.	G'head.That's enough.
