respond	context_0	context_1	context_2
You know how I'm totally down with the rap music?	'Sup.	Hey, Turk.	The hospital doesn't want to be sued. Being sued is not a good thing.
Chris Turk's my best friend. We roomed together in college...We roomed together in med school...Hell, we even got accepted by the same hospital.	Dude, be whiter.	You know how I'm totally down with the rap music?	'Sup.
Right. My question is this: if we're both singing along, and knowing that otherwise I would never use the word, am I allowed to say-	I got it.	Here's the thing: TuPac, DMX, Dr. Dre, in most of their songs, these artists use an extremely volatile racial slur... the "N" word.	Chris Turk's my best friend. We roomed together in college...We roomed together in med school...Hell, we even got accepted by the same hospital.
See, that's good for me to know. I didn't-I didn't know that.	No.	Right. My question is this: if we're both singing along, and knowing that otherwise I would never use the word, am I allowed to say-	I got it.
Hey, listen, I found us an apartment....	Finally, doctors, if there is a mistake, don't admit it to the patient. Of course, if the patient is deceased, and you're sure, you can feel free to tell him or her... anything.	See, that's good for me to know. I didn't-I didn't know that.	No.
I know. I would have laughed if you'd paused.	So, every male in my family is a doctor: my dad, my grand-dad, and my brother. I guess that's why dad gave me a guy's name, made me play sports, date girls. I'm joking.	Heh-heh. Hello.	Medical.
Your butt looks like two Pringles hugging.	Anyway, I know what you're thinking.	I know. I would have laughed if you'd paused.	So, every male in my family is a doctor: my dad, my grand-dad, and my brother. I guess that's why dad gave me a guy's name, made me play sports, date girls. I'm joking.
Hey, are we, like, racing?	I'm probably "Miss Hyper Competitive". I mean, it used to be a big problem for me. "Used to" - past tense.	No you don't.	Your butt looks like two Pringles hugging.
Please. I'm not that desperate.	Yes!	Hey, are we, like, racing?	I'm probably "Miss Hyper Competitive". I mean, it used to be a big problem for me. "Used to" - past tense.
Oh, yeah.	So, you do a lot of cardio, or...?	Please. I'm not that desperate.	Yes!
You ever notice how quickly some people make an impression?	Elliot Reid? John Dorian? Great. One: I am your resident, Dr. Jeffrey Steadman - not "Jeff". Two: Here are your manuals. This -	Oh, yeah.	So, you do a lot of cardio, or...?
Yeah.	I'm a tool. I'm a tool. I'm a tool, tool, tool, an unbelievably annoying tool.	You ever notice how quickly some people make an impression?	Elliot Reid? John Dorian? Great. One: I am your resident, Dr. Jeffrey Steadman - not "Jeff". Two: Here are your manuals. This -
Back to today.	Yeah. Finally, these are your beepers . From now on, they control your entire life. 'Kay? Thanks. Move it.	Yeah.	I'm a tool. I'm a tool. I'm a tool, tool, tool, an unbelievably annoying tool.
We'll talk later.	Place an IV for me.	Hi, doctor, I'm-	We're waiting for Dr. Cox.
