0	NEW_SCENE	NEW_SCENE
1	J.D.'s narration	Since I was a kid, I've been able to sleep through anything - storms, sirens, you name it. Last night, I didn't sleep.I guess I get a little goofy when I'm nervous.You see, today isn't just any other day. It's my first day.
2	J.D.	I'm the man.
3	J.D.'s narration	And four years of pre-med, four years of med school, and tons of unpaid loans have made me realize one thing...
4	Nurse Kearney	Good. Could you go drop an NG tube on the patient in 234, and call the attending that the lavage is positive?
5	J.D.'s narration	I don't know jack.
6	NEW_SCENE	NEW_SCENE
7	J.D.'s narration	So, this is my story.
8	J.D.	Uh, I'm supposed to be up in intensive care.
9	Nurse Kearney	Good. We just turfed him there.
10	J.D.'s narration	Look, I became a doctor because I wanted to help people. But orientation yesterday... it didn't really focus on patient care.
11	Lawyer	The hospital doesn't want to be sued. Being sued is not a good thing.
12	J.D.	Hey, Turk.
13	Turk	'Sup.
14	J.D.	You know how I'm totally down with the rap music?
15	Turk	Dude, be whiter.
16	J.D.'s narration	Chris Turk's my best friend. We roomed together in college...We roomed together in med school...Hell, we even got accepted by the same hospital.
17	J.D.	Here's the thing: TuPac, DMX, Dr. Dre, in most of their songs, these artists use an extremely volatile racial slur... the "N" word.
18	Turk	I got it.
19	J.D.	Right. My question is this: if we're both singing along, and knowing that otherwise I would never use the word, am I allowed to say-
20	Turk	No.
21	J.D.	See, that's good for me to know. I didn't-I didn't know that.
22	Lawyer	Finally, doctors, if there is a mistake, don't admit it to the patient. Of course, if the patient is deceased, and you're sure, you can feel free to tell him or her... anything.
23	J.D.	Hey, listen, I found us an apartment....
24	Dr. Kelso	Okay, gang. I'm Dr. Bob Kelso, and I'm your Chief of Medicine. So, I just want to encourage you all to think of me as your safety net. Because, I promise you, we're family here.Now, then, go get 'em, doctors.
25	NEW_SCENE	NEW_SCENE
26	Turk	So, the surgical interns are gonna go grab a beer.
27	J.D.	The medical interns are having a PacMan tournament....Apparently we're all twelve.
28	Elliot	I love PacMan.
29	J.D.	Me too. I love watching it, I love playing it, I love all of it.
30	Elliot	I'm Elliot.
31	Turk	Eeellliiiiooott...
32	Elliot	Yeah. Don't do that.
33	J.D.	I'm J.D., this is Turk.
34	Turk	Elliot, are you medical, or surgical?
35	Elliot	Medical.
36	J.D.'s narration	Heh-heh. Hello.
37	Elliot	So, every male in my family is a doctor: my dad, my grand-dad, and my brother. I guess that's why dad gave me a guy's name, made me play sports, date girls. I'm joking.
38	J.D.	I know. I would have laughed if you'd paused.
39	Elliot	Anyway, I know what you're thinking.
40	J.D.'s narration	Your butt looks like two Pringles hugging.
41	J.D.	No you don't.
42	Elliot	I'm probably "Miss Hyper Competitive". I mean, it used to be a big problem for me. "Used to" - past tense.
43	J.D.	Hey, are we, like, racing?
44	Elliot	Yes!
45	J.D.'s narration	Please. I'm not that desperate.
46	Elliot	So, you do a lot of cardio, or...?
47	J.D.	Oh, yeah.
48	Dr. Steadman	Elliot Reid? John Dorian? Great. One: I am your resident, Dr. Jeffrey Steadman - not "Jeff". Two: Here are your manuals. This -
49	J.D.'s narration	You ever notice how quickly some people make an impression?
50	Dr. Steadman	I'm a tool. I'm a tool. I'm a tool, tool, tool, an unbelievably annoying tool.
51	J.D.	Yeah.
52	Dr. Steadman	Yeah. Finally, these are your beepers . From now on, they control your entire life. 'Kay? Thanks. Move it.
53	J.D.'s narration	Back to today.
54	NEW_SCENE	NEW_SCENE
55	J.D.	Uh, I was paged.
56	Carla	Aww, first day, Bambi? Carla will take care of you. Don't look at me when we're moving someone.
57	J.D.	Why?
58	Carla	We're waiting for Dr. Cox.
59	J.D.	Hi, doctor, I'm-
60	Dr. Cox	Place an IV for me.
61	J.D.	We'll talk later.
62	Dr. Cox	Carla, can I ask you a personal question? Do you spray the perfume on or just fill your bathtub up and splash around in it?
63	Carla	I smell nice.
64	J.D.'s narration	Come on, you've done this to cadavers before. So this guy's alive, just poke it through his skin! Poke it through! Now!
65	Dr. Cox	Time's up. Carla, would you do it for him, please? I also need an A.B.G.
66	J.D.	Why are you telling her?
67	Dr. Cox	Shut up and watch.
68	Carla	Be nice to Bambi!
69	Dr. Cox	Why does this GOMER got to try and die everyday during my lunch?
70	J.D.	That's a little insensitive.
71	J.D.'s narration	Mistake.
72	Dr. Cox	Man's 92 years old, he has full dementia, he doesn't even know we're here, he's inches from Carla's rack and he hasn't even flinched.
73	Carla	Aww, that is so sweet.
74	Dr. Cox	Yeah, it is.
75	J.D.	What about his subconscious?
76	Dr. Cox	Eisenhower was a sissy.I think by the grace of God we're gonna be okay. Oh, and from now on, whenever I'm in the room, you're definitely not allowed to talk.
77	NEW_SCENE	NEW_SCENE
78	Dr. Kelso	Now...Dr. Dorian, can you tell me what ailment most often....
79	J.D.'s Narration	I think I'm gonna love rounds. It's like being on a gameshow.
80	J.D.	What is euremia?
81	Dr. Kelso	That's my boy!Hey, nice, clean job on the foley catheter.
82	J.D.'s Narration	I'd had a nurse do it. Unfortunately, I'm still afraid to touch anybody.I've been thinking a lot about Elliot....A whole lot.
83	Dr. Kelso	Dr. Reid, you're late.
84	Elliot	I got puked on.
85	Dr. Kelso	You're off the hook if you can tell me what to look for in a euremic patient.
86	J.D.'s Thoughts	Anyway...I'm going for it.
87	J.D.	Infection.
88	Elliot	Infection?
89	Dr. Kelso	That's my girl!Moving on.
90	Elliot	I knew the answer!
91	J.D.	I'm sure you did.
92	Elliot	I was just frazzled.
93	J.D.	Well, how could you not be....
94	Elliot	You know with the...
95	J.D.	Oh, I know. Yeah.
96	Elliot	Good. But thanks. If there's anything I can ever do for you, just
97	J.D.	You could let me take you to dinner tomorrow night.Around seven.... Or eight.
98	Elliot	Why not.
99	NEW_SCENE	NEW_SCENE
100	J.D.'s Thoughts	"Why not." That's what she said. "Why not"!
101	Boy	Daddy, why did you marry mommy?
102	J.D.	Well, Tiger, I gave her an answer during rounds, and she screwed my brains out.
103	Boy	You the man!
104	Dr. Cox	What the hell are you doing?Did you actually just page me to find out how much Tylenol to give to Mrs. Lendsner?
105	J.D.	I was worried that it could exacerbate the patient's
106	Dr. Cox	It's regular-strength Tylenol! Here's what'cha do: Get her to open her mouth, take a handful, and throw it at her. Whatever sticks, that's the correct dosage.
107	J.D.	But I
108	Dr. Cox	And under no circumstances are you to compromise our "no talking" agreement.
109	J.D.	Dr. Kelso, he's always telling me, you know, "You've gotta stay positive!"
110	Dr. Cox	I'm gonna go ahead and say this just as carefully as possible so I don't overstate it: Dr. Kelso is the most evil human being on the planet. And may, in fact, be Satan, himself.
111	J.D.	It's just that, this isn't really what I expected... You know...Most of my patients are, uh...older and sorta checked-out, mentally.
