0	NEW_SCENE	NEW_SCENE
1	Open	J.D.'s bedroom. "Away" by Leroy begins to play. Close up of a digital clock clicking over from 5:59 to 6:00. The alarm goes off and a sock-covered foot reaches over to tap it off. Pull back to reveal J.D., in pajama bottoms and a t-shirt, stretched sideways across his disheveled bed. He sits up.
2	J.D.'s narration	Since I was a kid, I've been able to sleep through anything - storms, sirens, you name it. Last night, I didn't sleep.
3	J.D.'s narration	I guess I get a little goofy when I'm nervous.
4	J.D.'s narration	You see, today isn't just any other day. It's my first day.
5	J.D.	I'm the man.
6	J.D.'s narration	And four years of pre-med, four years of med school, and tons of unpaid loans have made me realize one thing...
7	Nurse Kearney	Good. Could you go drop an NG tube on the patient in 234, and call the attending that the lavage is positive?
8	J.D.'s narration	I don't know jack.
9	NEW_SCENE	NEW_SCENE
10	J.D.'s narration	So, this is my story.
11	J.D.	Uh, I'm supposed to be up in intensive care.
12	Nurse Kearney	Good. We just turfed him there.
13	J.D.'s narration	Look, I became a doctor because I wanted to help people. But orientation yesterday... it didn't really focus on patient care.
14	Lawyer	The hospital doesn't want to be sued. Being sued is not a good thing.
15	J.D.	Hey, Turk.
16	Turk	'Sup.
17	J.D.	You know how I'm totally down with the rap music?
18	Turk	Dude, be whiter.
19	J.D.'s narration	Chris Turk's my best friend. We roomed together in college...
20	J.D.'s narration	We roomed together in med school...
21	J.D.'s narration	Hell, we even got accepted by the same hospital.
22	J.D.	Here's the thing: TuPac, DMX, Dr. Dre, in most of their songs, these artists use an extremely volatile racial slur... the "N" word.
23	Turk	I got it.
24	J.D.	Right. My question is this: if we're both singing along, and knowing that otherwise I would never use the word, am I allowed to say-
25	Turk	No.
26	J.D.	See, that's good for me to know. I didn't-I didn't know that.
27	Lawyer	Finally, doctors, if there is a mistake, don't admit it to the patient. Of course, if the patient is deceased, and you're sure, you can feel free to tell him or her... anything.
28	J.D.	Hey, listen, I found us an apartment....
29	Dr. Kelso	Okay, gang. I'm Dr. Bob Kelso, and I'm your Chief of Medicine. So, I just want to encourage you all to think of me as your safety net. Because, I promise you, we're family here.
30	Dr. Kelso	Now, then, go get 'em, doctors.
31	NEW_SCENE	NEW_SCENE
32	Turk	So, the surgical interns are gonna go grab a beer.
33	J.D.	The medical interns are having a PacMan tournament.
34	J.D.	...Apparently we're all twelve.
35	Elliot	I love PacMan.
36	J.D.	Me too. I love watching it, I love playing it, I love all of it.
37	Elliot	I'm Elliot.
38	Turk	Eeellliiiiooott...
39	Elliot	Yeah. Don't do that.
40	J.D.	I'm J.D., this is Turk.
41	Turk	Elliot, are you medical, or surgical?
42	Elliot	Medical.
43	J.D.'s narration	Heh-heh. Hello.
44	Elliot	So, every male in my family is a doctor: my dad, my grand-dad, and my brother. I guess that's why dad gave me a guy's name, made me play sports, date girls. I'm joking.
45	J.D.	I know. I would have laughed if you'd paused.
46	Elliot	Anyway, I know what you're thinking.
47	J.D.'s narration	Your butt looks like two Pringles hugging.
48	J.D.	No you don't.
49	Elliot	I'm probably "Miss Hyper Competitive". I mean, it used to be a big problem for me. "Used to" - past tense.
50	J.D.	Hey, are we, like, racing?
51	Elliot	Yes!
52	J.D.'s narration	Please. I'm not that desperate.
53	Elliot	So, you do a lot of cardio, or...?
54	J.D.	Oh, yeah.
55	Dr. Steadman	Elliot Reid? John Dorian? Great. One: I am your resident, Dr. Jeffrey Steadman - not "Jeff". Two: Here are your manuals. This -
56	J.D.'s narration	You ever notice how quickly some people make an impression?
57	Dr. Steadman	I'm a tool. I'm a tool. I'm a tool, tool, tool, an unbelievably annoying tool.
58	J.D.	Yeah.
59	Dr. Steadman	Yeah. Finally, these are your beepers . From now on, they control your entire life. 'Kay? Thanks. Move it.
